,codigo postal,renta bruta media,renta disponible media
455,35019,36.275,28.593
456,36201,38.715,30.125
457,36202,28.567,23.208
458,36203,32.718,26.224
459,36204,27.902,22.839
460,36205,23.284,19.557
461,36206,23.206,19.576
462,36207,22.537,19.095
463,36208,28.345,23.057
464,36209,24.825,20.783
465,36210,24.456,20.429
466,36211,30.244,24.712
467,36212,27.790,22.721
468,36213,26.144,21.665
469,36214,23.648,19.826
470,36215,22.253,18.859
471,36216,23.190,19.254
472,36312,23.276,19.559
473,36315,22.480,18.973
474,36317,23.688,19.817
475,36318,22.317,18.835
476,36330,24.188,20.291
477,36331,32.158,25.873
478,36390,39.784,31.222
479,38001,37.963,30.058
480,38002,36.696,29.367
481,38003,36.889,29.326
482,38004,39.057,31.064
483,38005,30.191,24.658
484,38006,33.723,27.111
485,38007,27.166,22.494
486,38008,22.472,19.099
487,38009,25.653,21.441
488,38010,20.847,17.924
489,38107,21.062,17.968
490,38108,20.716,17.812
491,38109,21.481,18.296
492,38111,23.350,19.530
493,38120,21.456,18.445
494,38180,25.476,21.254
495,39001,26.138,21.856
496,39002,41.421,33.047
497,39003,30.228,24.638
498,39004,36.214,29.011
499,39005,42.605,33.669
500,39006,26.107,21.828
501,39007,26.139,21.901
502,39008,24.757,20.924
503,39009,24.988,21.085
504,39010,30.048,24.838
505,39011,25.843,21.615
506,39012,33.465,26.744
507,41001,44.894,34.629
508,41002,35.473,28.148
509,41003,33.401,26.691
510,41004,44.273,34.442
511,41005,35.886,28.517
512,41006,20.189,17.389
513,41007,31.706,25.696
514,41008,25.345,21.015
515,41009,24.320,20.357
516,41010,31.884,25.854
517,41011,41.136,32.459
518,41012,36.607,28.909
519,41013,34.076,27.180
520,41014,26.209,21.647
521,41015,21.133,18.013
522,41016,18.707,16.305
523,41018,44.205,34.313
524,41019,20.913,17.927
525,41020,28.333,23.048
526,46001,36.408,28.817
527,46002,58.533,44.226
528,46003,42.229,32.913
529,46004,72.577,53.798
530,46005,46.430,35.844
531,46006,30.480,24.825
532,46007,32.099,25.761
533,46008,34.061,27.171
534,46009,26.155,21.683
535,46010,48.378,37.267
536,46011,25.319,20.987
537,46012,29.766,23.988
538,46013,28.765,23.227
539,46014,24.447,20.434
540,46015,32.706,26.031
541,46016,42.959,34.388
542,46017,23.407,19.678
543,46018,25.381,21.094
544,46019,24.659,20.486
545,46020,31.443,25.261
546,46021,33.191,26.476
547,46022,27.924,22.783
548,46023,38.053,29.645
549,46024,23.662,19.639
550,46025,23.547,19.748
551,46026,24.416,20.352
552,46035,21.543,18.272
553,46112,43.296,32.839
554,47001,48.329,37.898
555,47002,34.844,28.177
556,47003,34.084,27.649
557,47004,34.359,27.757
558,47005,23.919,20.317
559,47006,31.078,25.498
560,47007,29.805,24.513
561,47008,32.034,25.922
562,47009,27.890,23.046
563,47010,21.377,18.499
564,47011,23.767,20.187
565,47012,21.581,18.580
566,47013,22.101,19.007
567,47014,30.544,24.896
568,47015,33.528,27.049
569,47016,37.303,29.200
570,50001,38.749,30.358
571,50002,23.122,19.527
572,50003,25.567,21.116
573,50004,36.046,29.065
574,50005,28.858,23.611
575,50006,36.472,29.058
576,50007,23.830,20.016
577,50008,35.213,28.207
578,50009,37.180,29.488
579,50010,24.146,20.289
580,50011,31.024,24.922
581,50012,41.196,32.043
582,50013,25.363,21.071
583,50014,27.026,22.200
584,50015,25.611,21.204
585,50016,28.617,23.254
586,50017,22.767,19.285
587,50018,28.855,23.443
588,50019,27.607,22.737
589,50021,29.184,23.814
590,50022,25.317,21.089
591,50059,26.122,21.523
592,50120,24.598,20.522
593,50190,29.913,24.229
594,50194,27.976,22.941
595,50620,22.356,18.812
596,50720,26.286,21.398
597,50820,29.530,23.976
